Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,Region,State,City,Postal_Code,Product_ID,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Profit
11,US-2023-100006,2023-01-03,2023-01-07,Second Class,CUST-00015,Dylan Miller,Corporate,United States,Central,Missouri,Kansas City,64105,P-0010,Furniture,Bookcases,Corner Bookcase,2,159.99,0.4,191.99,-11.88
12,US-2023-100007,2023-01-03,2023-01-09,Standard Class,CUST-00614,David Molina,Home Office,United States,West,Washington,Seattle,98101,P-0001,Furniture,Chairs,Executive Leather Office Chair,7,289.99,0.0,2029.93,786.07
13,US-2023-100008,2023-01-03,2023-01-08,Standard Class,CUST-00383,Douglas Gregory,Corporate,United States,South,Georgia,Atlanta,30303,P-0050,Technology,Accessories,Webcam 1080p,2,49.99,0.0,99.98,33.25
14,US-2023-100008,2023-01-03,2023-01-08,Standard Class,CUST-00383,Douglas Gregory,Corporate,United States,South,Georgia,Atlanta,30303,P-0017,Office Supplies,Binders,Heavy-Duty Binder Clips (12pk),3,6.49,0.3,13.63,3.87
15,US-2023-100009,2023-01-04,2023-01-07,Second Class,CUST-00310,Dawn Summers,Home Office,United States,South,Tennessee,Nashville,37203,P-0023,Office Supplies,Storage,File Cabinet - 2 Drawer,3,129.99,0.0,389.97,128.99
16,US-2023-100010,2023-01-06,2023-01-06,Same Day,CUST-00124,Michelle Harmon,Home Office,United States,East,New Jersey,Newark,07102,P-0025,Office Supplies,Art,Colored Marker Set,4,11.99,0.0,47.96,22.04
17,US-2023-100010,2023-01-06,2023-01-06,Same Day,CUST-00124,Michelle Harmon,Home Office,United States,East,New Jersey,Newark,07102,P-0035,Office Supplies,Fasteners,Paper Clips Jumbo (100ct),1,3.99,0.15,3.39,1.53
18,US-2023-100010,2023-01-06,2023-01-06,Same Day,CUST-00124,Michelle Harmon,Home Office,United States,East,New Jersey,Newark,07102,P-0052,Technology,Copiers,Multifunction Copier,2,899.99,0.0,1799.98,348.02
19,US-2023-100010,2023-01-06,2023-01-06,Same Day,CUST-00124,Michelle Harmon,Home Office,United States,East,New Jersey,Newark,07102,P-0030,Office Supplies,Envelopes,Business Envelopes (100ct),1,9.99,0.1,8.99,3.79
20,US-2023-100011,2023-01-07,2023-01-13,Standard Class,CUST-00369,Renee Bruce,Consumer,United States,Central,Missouri,Kansas City,64105,P-0021,Office Supplies,Paper,Legal Pad 3-Pack,3,7.99,0.0,23.97,11.82
21,US-2023-100011,2023-01-07,2023-01-13,Standard Class,CUST-00369,Renee Bruce,Consumer,United States,Central,Missouri,Kansas City,64105,P-0031,Office Supplies,Envelopes,Padded Mailers (25ct),3,16.99,0.1,45.87,17.17
22,US-2023-100011,2023-01-07,2023-01-13,Standard Class,CUST-00369,Renee Bruce,Consumer,United States,Central,Missouri,Kansas City,64105,P-0043,Technology,Machines,Laser Printer,1,399.99,0.1,359.99,31.91
23,US-2023-100012,2023-01-07,2023-01-12,Standard Class,CUST-00578,Raymond Le,Consumer,United States,Central,Missouri,Kansas City,64105,P-0010,Furniture,Bookcases,Corner Bookcase,2,159.99,0.15,271.98,60.82
24,US-2023-100013,2023-01-07,2023-01-12,Standard Class,CUST-00267,Kimberly Gibson,Corporate,United States,West,Washington,Seattle,98101,P-0042,Technology,Machines,All-in-One Inkjet Printer,3,189.99,0.2,455.98,31.37
25,US-2023-100014,2023-01-08,2023-01-15,Standard Class,CUST-00465,Jose Allen,Consumer,United States,Central,Texas,Dallas,75201,P-0047,Technology,Accessories,Mechanical Keyboard,1,69.99,0.2,55.99,11.65
26,US-2023-100015,2023-01-08,2023-01-12,Standard Class,CUST-00317,Lauren Carson,Corporate,United States,East,New Jersey,Newark,07102,P-0034,Office Supplies,Supplies,Tape Dispenser,1,6.99,0.1,6.29,2.44
27,US-2023-100015,2023-01-08,2023-01-12,Standard Class,CUST-00317,Lauren Carson,Corporate,United States,East,New Jersey,Newark,07102,P-0015,Furniture,Furnishings,Desk Organizer Tray,2,19.99,0.15,33.98,11.07
28,US-2023-100015,2023-01-08,2023-01-12,Standard Class,CUST-00317,Lauren Carson,Corporate,United States,East,New Jersey,Newark,07102,P-0040,Technology,Phones,Smartphone Screen Protector,6,14.99,0.15,76.45,34.07
29,US-2023-100016,2023-01-08,2023-01-13,Standard Class,CUST-00437,Ralph Anderson,Consumer,United States,East,Pennsylvania,Pittsburgh,15222,P-0049,Technology,Accessories,Laptop Stand,1,39.99,0.15,33.99,8.23
30,US-2023-100016,2023-01-08,2023-01-13,Standard Class,CUST-00437,Ralph Anderson,Consumer,United States,East,Pennsylvania,Pittsburgh,15222,P-0039,Technology,Phones,VoIP Conference Phone,4,249.99,0.0,999.96,243.27
31,US-2023-100016,2023-01-08,2023-01-13,Standard Class,CUST-00437,Ralph Anderson,Consumer,United States,East,Pennsylvania,Pittsburgh,15222,P-0035,Office Supplies,Fasteners,Paper Clips Jumbo (100ct),4,3.99,0.2,12.77,4.79
32,US-2023-100017,2023-01-09,2023-01-13,Standard Class,CUST-00561,Nancy Evans MD,Corporate,United States,South,Florida,Miami,33130,P-0017,Office Supplies,Binders,Heavy-Duty Binder Clips (12pk),3,6.49,0.0,19.47,9.21
33,US-2023-100018,2023-01-09,2023-01-09,Same Day,CUST-00629,Joseph Wilson,Corporate,United States,South,North Carolina,Charlotte,28202,P-0026,Office Supplies,Art,Highlighter Pack (6pk),3,5.99,0.1,16.17,6.73
34,US-2023-100019,2023-01-09,2023-01-10,First Class,CUST-00016,Brian Ramirez,Consumer,United States,Central,Missouri,St. Louis,63101,P-0011,Furniture,Bookcases,Modular Storage Bookcase,2,229.99,0.0,459.98,163.47
35,US-2023-100019,2023-01-09,2023-01-10,First Class,CUST-00016,Brian Ramirez,Consumer,United States,Central,Missouri,St. Louis,63101,P-0039,Technology,Phones,VoIP Conference Phone,1,249.99,0.0,249.99,59.33
36,US-2023-100019,2023-01-09,2023-01-10,First Class,CUST-00016,Brian Ramirez,Consumer,United States,Central,Missouri,St. Louis,63101,P-0008,Furniture,Tables,Glass Top Side Table,2,149.99,0.0,299.98,101.1
37,US-2023-100020,2023-01-09,2023-01-15,Standard Class,CUST-00148,Stephanie Salazar,Consumer,United States,Central,Texas,Houston,77002,P-0003,Furniture,Chairs,Ergonomic Kneeling Chair,3,159.99,0.2,383.98,66.33
38,US-2023-100020,2023-01-09,2023-01-15,Standard Class,CUST-00148,Stephanie Salazar,Consumer,United States,Central,Texas,Houston,77002,P-0027,Office Supplies,Art,Sketch Pad,1,8.49,0.2,6.79,1.97
39,US-2023-100021,2023-01-09,2023-01-11,First Class,CUST-00501,Jennifer Banks,Home Office,United States,West,California,San Francisco,94103,P-0050,Technology,Accessories,Webcam 1080p,1,49.99,0.1,44.99,11.21
40,US-2023-100022,2023-01-11,2023-01-16,Standard Class,CUST-00171,Jamie Walton,Consumer,United States,Central,Missouri,St. Louis,63101,P-0015,Furniture,Furnishings,Desk Organizer Tray,6,19.99,0.0,119.94,53.98
41,US-2023-100023,2023-01-11,2023-01-18,Standard Class,CUST-00391,Thomas Atkins,Corporate,United States,West,California,Los Angeles,90012,P-0027,Office Supplies,Art,Sketch Pad,7,8.49,0.0,59.43,27.45
42,US-2023-100023,2023-01-11,2023-01-18,Standard Class,CUST-00391,Thomas Atkins,Corporate,United States,West,California,Los Angeles,90012,P-0003,Furniture,Chairs,Ergonomic Kneeling Chair,4,159.99,0.0,639.96,208.03
43,US-2023-100024,2023-01-11,2023-01-15,Second Class,CUST-00381,Karla Ramos,Consumer,United States,Central,Illinois,Chicago,60601,P-0025,Office Supplies,Art,Colored Marker Set,3,11.99,0.1,32.37,11.88
44,US-2023-100025,2023-01-11,2023-01-17,Standard Class,CUST-00451,Brittany Kim,Consumer,United States,East,New Jersey,Newark,07102,P-0029,Office Supplies,Labels,Shipping Label Roll,3,13.99,0.3,29.38,6.54
45,US-2023-100025,2023-01-11,2023-01-17,Standard Class,CUST-00451,Brittany Kim,Consumer,United States,East,New Jersey,Newark,07102,P-0012,Furniture,Furnishings,Desk Lamp - LED,2,39.99,0.0,79.98,35.03
46,US-2023-100026,2023-01-11,2023-01-11,Same Day,CUST-00577,Thomas Peterson,Consumer,United States,South,Louisiana,New Orleans,70112,P-0019,Office Supplies,Paper,Copy Paper Ream (500 sheets),4,8.99,0.1,32.36,13.16
47,US-2023-100027,2023-01-13,2023-01-20,Standard Class,CUST-00541,James Gilbert,Corporate,United States,East,Maryland,Baltimore,21201,P-0040,Technology,Phones,Smartphone Screen Protector,4,14.99,0.15,50.97,24.81
48,US-2023-100027,2023-01-13,2023-01-20,Standard Class,CUST-00541,James Gilbert,Corporate,United States,East,Maryland,Baltimore,21201,P-0034,Office Supplies,Supplies,Tape Dispenser,4,6.99,0.15,23.77,8.87
49,US-2023-100028,2023-01-13,2023-01-15,Second Class,CUST-00102,Cameron Parker,Consumer,United States,Central,Missouri,Kansas City,64105,P-0021,Office Supplies,Paper,Legal Pad 3-Pack,2,7.99,0.0,15.98,7.25
50,US-2023-100029,2023-01-13,2023-01-14,First Class,CUST-00162,Jennifer Adkins,Consumer,United States,East,New Jersey,Newark,07102,P-0024,Office Supplies,Storage,Desktop File Organizer,3,22.99,0.1,62.07,20.35
51,US-2023-100030,2023-01-14,2023-01-19,Standard Class,CUST-00441,Jeremy Mitchell,Corporate,United States,Central,Missouri,Kansas City,64105,P-0021,Office Supplies,Paper,Legal Pad 3-Pack,5,7.99,0.0,39.95,18.62
52,US-2023-100031,2023-01-14,2023-01-18,Second Class,CUST-00472,Richard Cooper,Consumer,United States,Central,Missouri,St. Louis,63101,P-0042,Technology,Machines,All-in-One Inkjet Printer,1,189.99,0.0,189.99,34.28
53,US-2023-100031,2023-01-14,2023-01-18,Second Class,CUST-00472,Richard Cooper,Consumer,United States,Central,Missouri,St. Louis,63101,P-0007,Furniture,Tables,Laminate Office Desk,4,219.99,0.1,791.96,224.49
54,US-2023-100032,2023-01-14,2023-01-21,Standard Class,CUST-00451,Brittany Kim,Consumer,United States,East,New Jersey,Newark,07102,P-0052,Technology,Copiers,Multifunction Copier,3,899.99,0.1,2429.97,128.2
55,US-2023-100032,2023-01-14,2023-01-21,Standard Class,CUST-00451,Brittany Kim,Consumer,United States,East,New Jersey,Newark,07102,P-0008,Furniture,Tables,Glass Top Side Table,2,149.99,0.0,299.98,108.8
56,US-2023-100033,2023-01-15,2023-01-19,Standard Class,CUST-00217,Rodney Morales,Home Office,United States,Central,Texas,Houston,77002,P-0044,Technology,Machines,Paper Shredder,3,89.99,0.0,269.97,77.33
57,US-2023-100033,2023-01-15,2023-01-19,Standard Class,CUST-00217,Rodney Morales,Home Office,United States,Central,Texas,Houston,77002,P-0038,Technology,Phones,Wireless Desk Phone,2,79.99,0.0,159.98,47.61
58,US-2023-100034,2023-01-15,2023-01-15,Same Day,CUST-00120,Jeffrey Chandler,Home Office,United States,West,California,San Francisco,94103,P-0051,Technology,Copiers,Desktop Scanner,2,159.99,0.0,319.98,77.19
59,US-2023-100034,2023-01-15,2023-01-15,Same Day,CUST-00120,Jeffrey Chandler,Home Office,United States,West,California,San Francisco,94103,P-0031,Office Supplies,Envelopes,Padded Mailers (25ct),1,16.99,0.0,16.99,7.44
60,US-2023-100034,2023-01-15,2023-01-15,Same Day,CUST-00120,Jeffrey Chandler,Home Office,United States,West,California,San Francisco,94103,P-0033,Office Supplies,Supplies,Scissors 3-Pack,3,8.99,0.15,22.92,7.56
61,US-2023-100034,2023-01-15,2023-01-15,Same Day,CUST-00120,Jeffrey Chandler,Home Office,United States,West,California,San Francisco,94103,P-0006,Furniture,Tables,Round Conference Table,7,599.99,0.0,4199.93,1098.99
62,US-2023-100035,2023-01-15,2023-01-17,First Class,CUST-00545,Mr. Alexander Landry MD,Consumer,United States,West,California,San Francisco,94103,P-0013,Furniture,Furnishings,Wall Clock,6,24.99,0.0,149.94,69.1
63,US-2023-100035,2023-01-15,2023-01-17,First Class,CUST-00545,Mr. Alexander Landry MD,Consumer,United States,West,California,San Francisco,94103,P-0044,Technology,Machines,Paper Shredder,3,89.99,0.1,242.97,38.42
64,US-2023-100035,2023-01-15,2023-01-17,First Class,CUST-00545,Mr. Alexander Landry MD,Consumer,United States,West,California,San Francisco,94103,P-0035,Office Supplies,Fasteners,Paper Clips Jumbo (100ct),2,3.99,0.15,6.78,3.02
65,US-2023-100036,2023-01-15,2023-01-20,Standard Class,CUST-00328,Trevor Johnson,Consumer,United States,East,Pennsylvania,Philadelphia,19102,P-0018,Office Supplies,Binders,Presentation Binder,2,15.99,0.0,31.98,13.84
66,US-2023-100036,2023-01-15,2023-01-20,Standard Class,CUST-00328,Trevor Johnson,Consumer,United States,East,Pennsylvania,Philadelphia,19102,P-0035,Office Supplies,Fasteners,Paper Clips Jumbo (100ct),7,3.99,0.2,22.34,7.89
67,US-2023-100036,2023-01-15,2023-01-20,Standard Class,CUST-00328,Trevor Johnson,Consumer,United States,East,Pennsylvania,Philadelphia,19102,P-0031,Office Supplies,Envelopes,Padded Mailers (25ct),4,16.99,0.3,47.57,7.62
68,US-2023-100036,2023-01-15,2023-01-20,Standard Class,CUST-00328,Trevor Johnson,Consumer,United States,East,Pennsylvania,Philadelphia,19102,P-0038,Technology,Phones,Wireless Desk Phone,2,79.99,0.1,143.98,28.17
69,US-2023-100037,2023-01-16,2023-01-23,Standard Class,CUST-00250,Kimberly Gutierrez,Home Office,United States,Central,Illinois,Chicago,60601,P-0049,Technology,Accessories,Laptop Stand,1,39.99,0.0,39.99,15.58
70,US-2023-100037,2023-01-16,2023-01-23,Standard Class,CUST-00250,Kimberly Gutierrez,Home Office,United States,Central,Illinois,Chicago,60601,P-0007,Furniture,Tables,Laminate Office Desk,1,219.99,0.3,153.99,8.96
71,US-2023-100037,2023-01-16,2023-01-23,Standard Class,CUST-00250,Kimberly Gutierrez,Home Office,United States,Central,Illinois,Chicago,60601,P-0050,Technology,Accessories,Webcam 1080p,4,49.99,0.0,199.96,61.14
72,US-2023-100038,2023-01-16,2023-01-18,First Class,CUST-00527,Todd Moore,Corporate,United States,South,Georgia,Atlanta,30303,P-0013,Furniture,Furnishings,Wall Clock,6,24.99,0.3,104.96,21.39
73,US-2023-100038,2023-01-16,2023-01-18,First Class,CUST-00527,Todd Moore,Corporate,United States,South,Georgia,Atlanta,30303,P-0014,Furniture,Furnishings,Framed Wall Art Set,1,59.99,0.0,59.99,23.91
74,US-2023-100039,2023-01-16,2023-01-19,Second Class,CUST-00289,Lisa Allen,Consumer,United States,West,Washington,Seattle,98101,P-0016,Office Supplies,Binders,3-Ring View Binder 2in,4,12.99,0.0,51.96,23.19
75,US-2023-100039,2023-01-16,2023-01-19,Second Class,CUST-00289,Lisa Allen,Consumer,United States,West,Washington,Seattle,98101,P-0001,Furniture,Chairs,Executive Leather Office Chair,4,289.99,0.1,1043.96,360.06
76,US-2023-100040,2023-01-16,2023-01-21,Standard Class,CUST-00580,David Grant,Consumer,United States,South,Florida,Miami,33130,P-0018,Office Supplies,Binders,Presentation Binder,4,15.99,0.0,63.96,27.55
77,US-2023-100040,2023-01-16,2023-01-21,Standard Class,CUST-00580,David Grant,Consumer,United States,South,Florida,Miami,33130,P-0031,Office Supplies,Envelopes,Padded Mailers (25ct),8,16.99,0.0,135.92,55.31
78,US-2023-100041,2023-01-17,2023-01-19,First Class,CUST-00531,Marilyn Wang,Corporate,United States,South,Louisiana,New Orleans,70112,P-0010,Furniture,Bookcases,Corner Bookcase,4,159.99,0.2,511.97,95.71
79,US-2023-100041,2023-01-17,2023-01-19,First Class,CUST-00531,Marilyn Wang,Corporate,United States,South,Louisiana,New Orleans,70112,P-0013,Furniture,Furnishings,Wall Clock,1,24.99,0.3,17.49,3.85
80,US-2023-100042,2023-01-17,2023-01-17,Same Day,CUST-00120,Jeffrey Chandler,Home Office,United States,West,California,San Francisco,94103,P-0047,Technology,Accessories,Mechanical Keyboard,1,69.99,0.0,69.99,25.31
81,US-2023-100043,2023-01-18,2023-01-22,Second Class,CUST-00272,Veronica Simpson,Consumer,United States,South,Florida,Orlando,32801,P-0045,Technology,Machines,Label Maker,3,44.99,0.0,134.97,42.34
82,US-2023-100043,2023-01-18,2023-01-22,Second Class,CUST-00272,Veronica Simpson,Consumer,United States,South,Florida,Orlando,32801,P-0027,Office Supplies,Art,Sketch Pad,2,8.49,0.3,11.89,2.91
83,US-2023-100043,2023-01-18,2023-01-22,Second Class,CUST-00272,Veronica Simpson,Consumer,United States,South,Florida,Orlando,32801,P-0008,Furniture,Tables,Glass Top Side Table,6,149.99,0.15,764.95,185.93
84,US-2023-100044,2023-01-18,2023-01-21,Second Class,CUST-00398,Gary Jackson,Consumer,United States,South,Louisiana,New Orleans,70112,P-0039,Technology,Phones,VoIP Conference Phone,2,249.99,0.0,499.98,133.21
85,US-2023-100044,2023-01-18,2023-01-21,Second Class,CUST-00398,Gary Jackson,Consumer,United States,South,Louisiana,New Orleans,70112,P-0052,Technology,Copiers,Multifunction Copier,1,899.99,0.0,899.99,111.91
86,US-2023-100045,2023-01-18,2023-01-23,Standard Class,CUST-00379,Anthony Moore,Consumer,United States,West,Washington,Seattle,98101,P-0025,Office Supplies,Art,Colored Marker Set,4,11.99,0.2,38.37,12.9
87,US-2023-100046,2023-01-18,2023-01-20,First Class,CUST-00222,Jeremy Dalton,Consumer,United States,Central,Texas,Houston,77002,P-0029,Office Supplies,Labels,Shipping Label Roll,3,13.99,0.0,41.97,18.24
88,US-2023-100046,2023-01-18,2023-01-20,First Class,CUST-00222,Jeremy Dalton,Consumer,United States,Central,Texas,Houston,77002,P-0037,Office Supplies,Fasteners,Rubber Bands (1lb),1,5.49,0.0,5.49,2.82
89,US-2023-100046,2023-01-18,2023-01-20,First Class,CUST-00222,Jeremy Dalton,Consumer,United States,Central,Texas,Houston,77002,P-0014,Furniture,Furnishings,Framed Wall Art Set,3,59.99,0.3,125.98,18.51
90,US-2023-100046,2023-01-18,2023-01-20,First Class,CUST-00222,Jeremy Dalton,Consumer,United States,Central,Texas,Houston,77002,P-0020,Office Supplies,Paper,Sticky Notes Multi-Pack,5,9.49,0.0,47.45,22.32
91,US-2023-100047,2023-01-18,2023-01-20,Second Class,CUST-00566,John Coffey,Consumer,United States,South,North Carolina,Charlotte,28202,P-0001,Furniture,Chairs,Executive Leather Office Chair,2,289.99,0.15,492.98,113.19
92,US-2023-100048,2023-01-19,2023-01-23,Standard Class,CUST-00405,Joann Glass,Consumer,United States,West,California,Los Angeles,90012,P-0036,Office Supplies,Fasteners,Push Pins (50ct),4,4.49,0.15,15.27,5.76
93,US-2023-100049,2023-01-19,2023-01-26,Standard Class,CUST-00185,Lindsay Martinez,Corporate,United States,East,New Jersey,Newark,07102,P-0035,Office Supplies,Fasteners,Paper Clips Jumbo (100ct),6,3.99,0.0,23.94,11.71
94,US-2023-100050,2023-01-19,2023-01-20,First Class,CUST-00585,Jamie Baird,Corporate,United States,Central,Texas,Dallas,75201,P-0008,Furniture,Tables,Glass Top Side Table,7,149.99,0.0,1049.93,371.36
95,US-2023-100050,2023-01-19,2023-01-20,First Class,CUST-00585,Jamie Baird,Corporate,United States,Central,Texas,Dallas,75201,P-0038,Technology,Phones,Wireless Desk Phone,8,79.99,0.0,639.92,195.26
96,US-2023-100050,2023-01-19,2023-01-20,First Class,CUST-00585,Jamie Baird,Corporate,United States,Central,Texas,Dallas,75201,P-0013,Furniture,Furnishings,Wall Clock,1,24.99,0.15,21.24,6.71
97,US-2023-100051,2023-01-20,2023-01-25,Standard Class,CUST-00311,Dr. Paul Morgan,Home Office,United States,West,Oregon,Portland,97201,P-0020,Office Supplies,Paper,Sticky Notes Multi-Pack,4,9.49,0.0,37.96,17.69
98,US-2023-100051,2023-01-20,2023-01-25,Standard Class,CUST-00311,Dr. Paul Morgan,Home Office,United States,West,Oregon,Portland,97201,P-0004,Furniture,Chairs,Folding Guest Chair,2,74.99,0.0,149.98,57.98
99,US-2023-100052,2023-01-20,2023-01-27,Standard Class,CUST-00482,Howard Norman,Corporate,United States,South,Tennessee,Nashville,37203,P-0002,Furniture,Chairs,Mesh Task Chair,4,129.99,0.15,441.97,88.31
100,US-2023-100053,2023-01-20,2023-01-23,Second Class,CUST-00393,Brian Smith,Consumer,United States,West,California,San Diego,92101,P-0043,Technology,Machines,Laser Printer,2,399.99,0.0,799.98,153.55
101,US-2023-100053,2023-01-20,2023-01-23,Second Class,CUST-00393,Brian Smith,Consumer,United States,West,California,San Diego,92101,P-0020,Office Supplies,Paper,Sticky Notes Multi-Pack,3,9.49,0.0,28.47,13.67
102,US-2023-100053,2023-01-20,2023-01-23,Second Class,CUST-00393,Brian Smith,Consumer,United States,West,California,San Diego,92101,P-0048,Technology,Accessories,USB-C Hub,1,34.99,0.0,34.99,13.6
103,US-2023-100054,2023-01-20,2023-01-20,Same Day,CUST-00571,Ashley Smith,Consumer,United States,West,Colorado,Denver,80202,P-0046,Technology,Accessories,Wireless Mouse,1,24.99,0.0,24.99,8.52
104,US-2023-100055,2023-01-20,2023-01-25,Standard Class,CUST-00162,Jennifer Adkins,Consumer,United States,East,New Jersey,Newark,07102,P-0028,Office Supplies,Labels,Address Label Sheets (100ct),3,10.99,0.15,28.02,11.13
105,US-2023-100056,2023-01-20,2023-01-27,Standard Class,CUST-00321,Susan Turner,Corporate,United States,South,North Carolina,Charlotte,28202,P-0044,Technology,Machines,Paper Shredder,3,89.99,0.0,269.97,73.22
106,US-2023-100056,2023-01-20,2023-01-27,Standard Class,CUST-00321,Susan Turner,Corporate,United States,South,North Carolina,Charlotte,28202,P-0049,Technology,Accessories,Laptop Stand,1,39.99,0.1,35.99,11.94
107,US-2023-100056,2023-01-20,2023-01-27,Standard Class,CUST-00321,Susan Turner,Corporate,United States,South,North Carolina,Charlotte,28202,P-0030,Office Supplies,Envelopes,Business Envelopes (100ct),1,9.99,0.15,8.49,2.78
108,US-2023-100056,2023-01-20,2023-01-27,Standard Class,CUST-00321,Susan Turner,Corporate,United States,South,North Carolina,Charlotte,28202,P-0021,Office Supplies,Paper,Legal Pad 3-Pack,2,7.99,0.2,12.78,4.42
109,US-2023-100057,2023-01-21,2023-01-25,Standard Class,CUST-00167,Alyssa Long,Corporate,United States,South,North Carolina,Charlotte,28202,P-0051,Technology,Copiers,Desktop Scanner,5,159.99,0.0,799.95,171.38
110,US-2023-100058,2023-01-21,2023-01-22,First Class,CUST-00531,Marilyn Wang,Corporate,United States,South,Louisiana,New Orleans,70112,P-0024,Office Supplies,Storage,Desktop File Organizer,2,22.99,0.2,36.78,10.48
111,US-2023-100058,2023-01-21,2023-01-22,First Class,CUST-00531,Marilyn Wang,Corporate,United States,South,Louisiana,New Orleans,70112,P-0030,Office Supplies,Envelopes,Business Envelopes (100ct),1,9.99,0.15,8.49,3.05
112,US-2023-100059,2023-01-21,2023-01-28,Standard Class,CUST-00036,Jeffrey Chavez,Consumer,United States,West,Colorado,Denver,80202,P-0050,Technology,Accessories,Webcam 1080p,3,49.99,0.1,134.97,33.72
113,US-2023-100060,2023-01-21,2023-01-24,Second Class,CUST-00264,Diane Evans,Consumer,United States,West,Oregon,Portland,97201,P-0042,Technology,Machines,All-in-One Inkjet Printer,1,189.99,0.0,189.99,46.82
114,US-2023-100060,2023-01-21,2023-01-24,Second Class,CUST-00264,Diane Evans,Consumer,United States,West,Oregon,Portland,97201,P-0047,Technology,Accessories,Mechanical Keyboard,2,69.99,0.0,139.98,48.11
115,US-2023-100061,2023-01-22,2023-01-26,Second Class,CUST-00309,Kiara Mcintyre,Home Office,United States,South,Florida,Orlando,32801,P-0038,Technology,Phones,Wireless Desk Phone,1,79.99,0.15,67.99,9.52
116,US-2023-100061,2023-01-22,2023-01-26,Second Class,CUST-00309,Kiara Mcintyre,Home Office,United States,South,Florida,Orlando,32801,P-0010,Furniture,Bookcases,Corner Bookcase,3,159.99,0.2,383.98,79.02
117,US-2023-100061,2023-01-22,2023-01-26,Second Class,CUST-00309,Kiara Mcintyre,Home Office,United States,South,Florida,Orlando,32801,P-0007,Furniture,Tables,Laminate Office Desk,6,219.99,0.0,1319.94,429.66
118,US-2023-100061,2023-01-22,2023-01-26,Second Class,CUST-00309,Kiara Mcintyre,Home Office,United States,South,Florida,Orlando,32801,P-0002,Furniture,Chairs,Mesh Task Chair,1,129.99,0.0,129.99,44.33
119,US-2023-100062,2023-01-22,2023-01-28,Standard Class,CUST-00529,Kristy Bryan,Corporate,United States,West,Oregon,Portland,97201,P-0014,Furniture,Furnishings,Framed Wall Art Set,1,59.99,0.0,59.99,22.31
120,US-2023-100062,2023-01-22,2023-01-28,Standard Class,CUST-00529,Kristy Bryan,Corporate,United States,West,Oregon,Portland,97201,P-0020,Office Supplies,Paper,Sticky Notes Multi-Pack,2,9.49,0.0,18.98,9.05
121,US-2023-100063,2023-01-22,2023-01-27,Standard Class,CUST-00358,Jeffery Ortega,Consumer,United States,Central,Illinois,Chicago,60601,P-0051,Technology,Copiers,Desktop Scanner,5,159.99,0.0,799.95,219.01
122,US-2023-100064,2023-01-23,2023-01-23,Same Day,CUST-00154,Devon Flores,Consumer,United States,West,California,San Francisco,94103,P-0020,Office Supplies,Paper,Sticky Notes Multi-Pack,2,9.49,0.1,17.08,6.86
